Weekday,Day_of_week,Ride_Date,started_on,completed_on,start_lat,start_long,end_lat,end_long
0,7,1/15/2017,2017-01-15 14:24:10-06:00,2017-01-15 14:36:02-06:00,30.288,-97.748,30.26,-97.738
0,7,1/15/2017,2017-01-15 14:24:19-06:00,2017-01-15 14:34:35-06:00,30.209,-97.78,30.216,-97.83
0,7,1/15/2017,2017-01-15 14:24:30-06:00,2017-01-15 14:33:39-06:00,30.259,-97.717,30.267,-97.746
0,7,1/15/2017,2017-01-15 14:25:00-06:00,2017-01-15 14:36:48-06:00,30.305,-97.663,30.386,-97.741
0,7,1/15/2017,2017-01-15 14:25:23-06:00,2017-01-15 14:33:55-06:00,30.224,-97.745,30.259,-97.749
0,7,1/15/2017,2017-01-15 14:25:35-06:00,2017-01-15 14:33:18-06:00,30.24,-97.725,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:25:42-06:00,2017-01-15 14:42:08-06:00,30.3,-97.78,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:26:00-06:00,2017-01-15 14:57:56-06:00,30.249,-97.75,30.203,-97.666
0,7,1/15/2017,2017-01-15 14:26:25-06:00,2017-01-15 14:38:12-06:00,30.319,-97.755,30.267,-97.738
0,7,1/15/2017,2017-01-15 14:26:41-06:00,2017-01-15 14:42:12-06:00,30.001,-97.863,30.16,-97.791
0,7,1/15/2017,2017-01-15 14:26:49-06:00,2017-01-15 14:43:24-06:00,30.265,-97.736,30.203,-97.666
0,7,1/15/2017,2017-01-15 14:26:52-06:00,2017-01-15 14:42:59-06:00,30.199,-97.772,30.277,-97.751
0,7,1/15/2017,2017-01-15 14:27:10-06:00,2017-01-15 14:39:46-06:00,30.243,-97.727,30.27,-97.748
0,7,1/15/2017,2017-01-15 14:27:11-06:00,2017-01-15 14:34:22-06:00,30.24,-97.718,30.265,-97.741
0,7,1/15/2017,2017-01-15 14:27:21-06:00,2017-01-15 14:40:49-06:00,30.265,-97.74,30.232,-97.796
0,7,1/15/2017,2017-01-15 14:27:44-06:00,2017-01-15 14:40:02-06:00,30.263,-97.744,30.257,-97.724
0,7,1/15/2017,2017-01-15 14:27:59-06:00,2017-01-15 14:33:49-06:00,30.266,-97.748,30.27,-97.754
0,7,1/15/2017,2017-01-15 14:28:27-06:00,2017-01-15 14:31:11-06:00,30.188,-97.818,30.247,-97.771
0,7,1/15/2017,2017-01-15 14:28:33-06:00,2017-01-15 14:39:30-06:00,30.411,-97.744,30.477,-97.803
0,7,1/15/2017,2017-01-15 14:29:05-06:00,2017-01-15 14:36:34-06:00,30.34,-97.719,30.331,-97.74
0,7,1/15/2017,2017-01-15 14:29:19-06:00,2017-01-15 14:40:07-06:00,30.301,-97.72,30.287,-97.745
0,7,1/15/2017,2017-01-15 14:29:19-06:00,2017-01-15 14:37:32-06:00,30.236,-97.764,30.263,-97.762
0,7,1/15/2017,2017-01-15 14:29:28-06:00,2017-01-15 14:49:35-06:00,30.327,-97.754,30.195,-97.903
0,7,1/15/2017,2017-01-15 14:29:52-06:00,2017-01-15 14:44:58-06:00,30.259,-97.738,30.203,-97.667
0,7,1/15/2017,2017-01-15 14:29:55-06:00,2017-01-15 14:43:38-06:00,30.225,-97.82,30.252,-97.748
0,7,1/15/2017,2017-01-15 14:30:24-06:00,2017-01-15 14:33:31-06:00,30.255,-97.715,30.261,-97.715
0,7,1/15/2017,2017-01-15 14:30:28-06:00,2017-01-15 14:37:08-06:00,30.261,-97.753,30.252,-97.777
0,7,1/15/2017,2017-01-15 14:30:36-06:00,2017-01-15 14:48:06-06:00,30.299,-97.741,30.402,-97.726
0,7,1/15/2017,2017-01-15 14:30:41-06:00,2017-01-15 14:48:06-06:00,30.286,-97.742,30.24,-97.718
0,7,1/15/2017,2017-01-15 14:30:49-06:00,2017-01-15 14:42:33-06:00,30.288,-97.748,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:30:56-06:00,2017-01-15 14:56:14-06:00,30.284,-97.742,30.266,-97.74
0,7,1/15/2017,2017-01-15 14:31:00-06:00,2017-01-15 14:47:34-06:00,30.316,-97.704,30.257,-97.752
0,7,1/15/2017,2017-01-15 14:31:25-06:00,2017-01-15 14:40:58-06:00,30.329,-97.754,30.267,-97.746
0,7,1/15/2017,2017-01-15 14:31:35-06:00,2017-01-15 14:50:31-06:00,30.202,-97.667,30.26,-97.754
0,7,1/15/2017,2017-01-15 14:31:51-06:00,2017-01-15 14:46:01-06:00,30.269,-97.743,30.209,-97.755
0,7,1/15/2017,2017-01-15 14:32:07-06:00,2017-01-15 14:55:22-06:00,30.38,-97.743,30.235,-97.732
0,7,1/15/2017,2017-01-15 14:32:13-06:00,2017-01-15 14:46:38-06:00,30.261,-97.721,30.281,-97.759
0,7,1/15/2017,2017-01-15 14:32:14-06:00,2017-01-15 15:00:32-06:00,30.254,-97.747,30.17,-97.87
0,7,1/15/2017,2017-01-15 14:32:36-06:00,2017-01-15 14:44:50-06:00,30.25,-97.75,30.273,-97.761
0,7,1/15/2017,2017-01-15 14:32:51-06:00,2017-01-15 14:43:14-06:00,30.241,-97.786,30.269,-97.75
0,7,1/15/2017,2017-01-15 14:32:54-06:00,2017-01-15 14:47:28-06:00,30.251,-97.749,30.307,-97.719
0,7,1/15/2017,2017-01-15 14:33:31-06:00,2017-01-15 14:41:20-06:00,30.259,-97.787,30.256,-97.763
0,7,1/15/2017,2017-01-15 14:33:41-06:00,2017-01-15 14:49:19-06:00,30.299,-97.741,30.402,-97.726
0,7,1/15/2017,2017-01-15 14:33:47-06:00,2017-01-15 14:53:29-06:00,30.402,-97.707,30.27,-97.749
0,7,1/15/2017,2017-01-15 14:33:58-06:00,2017-01-15 14:38:17-06:00,30.281,-97.743,30.281,-97.758
0,7,1/15/2017,2017-01-15 14:34:07-06:00,2017-01-15 14:48:02-06:00,30.271,-97.753,30.248,-97.735
0,7,1/15/2017,2017-01-15 14:34:29-06:00,2017-01-15 14:55:44-06:00,30.203,-97.667,30.282,-97.736
0,7,1/15/2017,2017-01-15 14:34:40-06:00,2017-01-15 14:42:25-06:00,30.189,-97.769,30.167,-97.745
0,7,1/15/2017,2017-01-15 14:35:10-06:00,2017-01-15 14:47:08-06:00,30.198,-97.789,30.237,-97.791
0,7,1/15/2017,2017-01-15 14:35:24-06:00,2017-01-15 14:44:40-06:00,30.284,-97.742,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:35:50-06:00,2017-01-15 14:51:31-06:00,30.265,-97.742,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:35:55-06:00,2017-01-15 14:42:05-06:00,30.277,-97.743,30.269,-97.728
0,7,1/15/2017,2017-01-15 14:36:07-06:00,2017-01-15 14:40:54-06:00,30.262,-97.729,30.263,-97.741
0,7,1/15/2017,2017-01-15 14:36:13-06:00,2017-01-15 14:59:28-06:00,30.259,-97.808,30.271,-97.734
0,7,1/15/2017,2017-01-15 14:36:21-06:00,2017-01-15 14:53:20-06:00,30.283,-97.735,30.22,-97.699
0,7,1/15/2017,2017-01-15 14:36:22-06:00,2017-01-15 14:43:23-06:00,30.217,-97.795,30.227,-97.82
0,7,1/15/2017,2017-01-15 14:36:46-06:00,2017-01-15 14:44:18-06:00,30.266,-97.748,30.266,-97.767
0,7,1/15/2017,2017-01-15 14:37:02-06:00,2017-01-15 14:42:50-06:00,30.265,-97.738,30.266,-97.747
0,7,1/15/2017,2017-01-15 14:37:08-06:00,2017-01-15 14:43:54-06:00,30.269,-97.731,30.259,-97.739
0,7,1/15/2017,2017-01-15 14:37:16-06:00,2017-01-15 14:49:27-06:00,30.259,-97.739,30.288,-97.749
0,7,1/15/2017,2017-01-15 14:37:16-06:00,2017-01-15 15:08:37-06:00,30.445,-97.627,30.203,-97.666
0,7,1/15/2017,2017-01-15 14:37:17-06:00,2017-01-15 14:53:38-06:00,30.282,-97.736,30.202,-97.772
0,7,1/15/2017,2017-01-15 14:37:30-06:00,2017-01-15 14:47:50-06:00,30.291,-97.772,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:37:38-06:00,2017-01-15 14:47:26-06:00,30.236,-97.722,30.236,-97.711
0,7,1/15/2017,2017-01-15 14:37:47-06:00,2017-01-15 14:51:46-06:00,30.283,-97.745,30.238,-97.79
0,7,1/15/2017,2017-01-15 14:37:48-06:00,2017-01-15 14:48:14-06:00,30.366,-97.751,30.277,-97.751
0,7,1/15/2017,2017-01-15 14:38:01-06:00,2017-01-15 14:58:53-06:00,30.256,-97.763,30.313,-97.724
0,7,1/15/2017,2017-01-15 14:38:04-06:00,2017-01-15 14:52:25-06:00,30.343,-97.862,30.291,-97.93
0,7,1/15/2017,2017-01-15 14:38:13-06:00,2017-01-15 14:54:19-06:00,30.263,-97.744,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:38:25-06:00,2017-01-15 14:52:50-06:00,30.227,-97.752,30.232,-97.823
0,7,1/15/2017,2017-01-15 14:38:28-06:00,2017-01-15 14:45:38-06:00,30.273,-97.741,30.286,-97.742
0,7,1/15/2017,2017-01-15 14:38:32-06:00,2017-01-15 14:50:49-06:00,30.264,-97.763,30.266,-97.739
0,7,1/15/2017,2017-01-15 14:38:33-06:00,2017-01-15 14:44:30-06:00,30.198,-97.792,30.209,-97.783
0,7,1/15/2017,2017-01-15 14:38:45-06:00,2017-01-15 14:53:39-06:00,30.259,-97.739,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:38:46-06:00,2017-01-15 15:06:49-06:00,30.484,-97.793,30.27,-97.75
0,7,1/15/2017,2017-01-15 14:38:52-06:00,2017-01-15 15:06:41-06:00,30.367,-97.73,30.163,-97.78
0,7,1/15/2017,2017-01-15 14:39:15-06:00,2017-01-15 15:02:07-06:00,30.398,-97.717,30.215,-97.751
0,7,1/15/2017,2017-01-15 14:39:17-06:00,2017-01-15 15:03:57-06:00,30.203,-97.667,30.288,-97.743
0,7,1/15/2017,2017-01-15 14:39:19-06:00,2017-01-15 15:01:51-06:00,30.398,-97.717,30.214,-97.751
0,7,1/15/2017,2017-01-15 14:39:21-06:00,2017-01-15 14:50:43-06:00,30.288,-97.726,30.267,-97.745
0,7,1/15/2017,2017-01-15 14:39:42-06:00,2017-01-15 14:50:55-06:00,30.256,-97.763,30.26,-97.739
0,7,1/15/2017,2017-01-15 14:39:48-06:00,2017-01-15 15:05:54-06:00,30.27,-97.744,30.261,-97.938
0,7,1/15/2017,2017-01-15 14:39:49-06:00,2017-01-15 14:46:37-06:00,30.263,-97.74,30.276,-97.765
0,7,1/15/2017,2017-01-15 14:39:56-06:00,2017-01-15 15:04:39-06:00,30.339,-97.69,30.305,-97.656
0,7,1/15/2017,2017-01-15 14:39:59-06:00,2017-01-15 14:47:55-06:00,30.251,-97.749,30.218,-97.776
0,7,1/15/2017,2017-01-15 14:40:17-06:00,2017-01-15 15:03:20-06:00,30.249,-97.738,30.402,-97.723
0,7,1/15/2017,2017-01-15 14:40:18-06:00,2017-01-15 14:45:10-06:00,30.234,-97.724,30.238,-97.714
0,7,1/15/2017,2017-01-15 14:40:19-06:00,2017-01-15 15:06:59-06:00,30.474,-97.808,30.264,-97.743
0,7,1/15/2017,2017-01-15 14:40:27-06:00,2017-01-15 14:49:24-06:00,30.257,-97.808,30.27,-97.754
0,7,1/15/2017,2017-01-15 14:40:31-06:00,2017-01-15 14:53:27-06:00,30.3,-97.756,30.237,-97.741
0,7,1/15/2017,2017-01-15 14:40:56-06:00,2017-01-15 14:58:27-06:00,30.316,-97.732,30.402,-97.723
0,7,1/15/2017,2017-01-15 14:41:03-06:00,2017-01-15 14:58:50-06:00,30.277,-97.737,30.292,-97.74
0,7,1/15/2017,2017-01-15 14:41:24-06:00,2017-01-15 14:55:44-06:00,30.272,-97.731,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:41:25-06:00,2017-01-15 14:59:02-06:00,30.321,-97.738,30.267,-97.746
0,7,1/15/2017,2017-01-15 14:41:26-06:00,2017-01-15 15:05:28-06:00,30.286,-97.729,30.185,-97.874
0,7,1/15/2017,2017-01-15 14:41:40-06:00,2017-01-15 14:57:59-06:00,30.274,-97.801,30.266,-97.721
0,7,1/15/2017,2017-01-15 14:41:58-06:00,2017-01-15 14:59:28-06:00,30.322,-97.727,30.258,-97.713
0,7,1/15/2017,2017-01-15 14:42:18-06:00,2017-01-15 14:53:51-06:00,30.284,-97.74,30.257,-97.805
0,7,1/15/2017,2017-01-15 14:42:18-06:00,2017-01-15 14:54:12-06:00,30.424,-97.755,30.44,-97.694
0,7,1/15/2017,2017-01-15 14:42:25-06:00,2017-01-15 14:55:42-06:00,30.231,-97.779,30.203,-97.666
